FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
369,"詠","recitation",2019-11-05 02:32:53,2019-11-13,3,0,2
370,"詩","poem",2019-11-05 02:32:53,2019-11-13,3,0,2
371,"語","word",2019-11-09 09:41:38,2019-11-21,4,0,3
372,"読","read",2019-11-04 02:55:33,2019-11-11,3,0,2
373,"調","tune",2019-11-04 02:50:32,2019-11-10,3,0,2
374,"談","discuss",2019-11-04 02:52:03,2019-11-10,3,0,2
375,"諾","consent",2019-11-05 03:05:43,2019-11-13,3,0,2
376,"諭","rebuke",2019-11-05 02:32:53,2019-11-13,3,0,2
377,"式","style",2019-11-04 02:49:29,2019-11-12,3,0,2
378,"試","test",2019-11-09 09:41:38,2019-11-20,4,0,3
379,"弐","II (two)",2019-11-06 02:29:06,2019-11-14,3,1,2
380,"域","range",2019-11-09 09:23:10,2019-11-17,3,2,3
381,"賊","burglar",2019-11-09 09:43:17,2019-11-16,3,2,3
382,"栽","plantation",2019-11-06 02:26:23,2019-11-13,3,0,2
383,"載","load",2019-11-05 02:29:29,2019-11-14,3,1,2
384,"茂","overgrown",2019-11-06 02:26:23,2019-11-11,3,0,2
385,"戚","relatives",2019-11-06 02:30:37,2019-11-13,3,0,2
386,"成","turn into",2019-11-06 02:30:37,2019-11-11,3,0,2
387,"城","castle",2019-11-05 02:36:25,2019-11-10,3,0,2
388,"誠","sincerity",2019-11-05 02:37:49,2019-11-13,3,0,2
389,"威","intimidate",2019-11-09 09:43:17,2019-11-15,3,1,3
390,"滅","destroy",2019-11-09 09:28:14,2019-11-15,3,1,3
391,"減","dwindle",2019-11-05 02:31:38,2019-11-14,3,0,2
392,"蔑","revile",2019-11-04 02:54:04,2019-11-13,3,0,2
